"time","sd","t2m"
1950-01-01,7.73595692589879,-4.05295410156248
1950-02-01,5.16275689005852,1.04958496093752
1950-03-01,0.138280316605233,5.84902343750002
1950-04-01,-7.1468416639166e-22,9.46010742187502
1950-05-01,-7.1468416639166e-22,15.925439453125
1950-06-01,-7.14684117087854e-22,20.3232666015625
1950-07-01,-7.31476845696326e-22,22.5453125
1950-08-01,-7.34536492021033e-22,21.276513671875
1950-09-01,-7.34536492021033e-22,16.206689453125
1950-10-01,0.491619284730405,8.38576660156252
1950-11-01,0.0585541129112244,4.55666503906252
1950-12-01,5.33278193324804,-0.0217041015624773
1951-01-01,2.7169908862561,0.652246093750023
1951-02-01,0.223908384214155,2.91872558593752
1951-03-01,0.345981912687421,3.68813476562502
1951-04-01,-5.82335295993308e-22,9.11953125000002
1951-05-01,-5.82335295993308e-22,13.5534912109375
1951-06-01,-6.65926498080793e-22,17.6264892578125
1951-07-01,-7.30391718217388e-22,19.7966552734375
1951-08-01,-7.34536492021033e-22,21.1574951171875
1951-09-01,-7.34536492021033e-22,17.7737060546875
1951-10-01,-7.34536541324839e-22,9.55654296875002
1951-11-01,-7.34536541324839e-22,7.45388183593752
1951-12-01,0.175573921296746,1.30251464843752
1952-01-01,10.66111959517,-1.02573242187498
1952-02-01,47.2873114049435,-1.25021972656248
1952-03-01,3.42996581457555,0.992944335937523
1952-04-01,0.289901741780341,11.8078857421875
1952-05-01,-7.09836764040497e-22,13.639306640625
1952-06-01,-7.15290751123969e-22,17.22353515625
1952-07-01,-7.32330689018615e-22,21.1413818359375
1952-08-01,-7.34536492021033e-22,22.23525390625
1952-09-01,-7.34536541324839e-22,13.4565673828125
1952-10-01,-7.34536541324839e-22,8.73208007812502
1952-11-01,1.37095875106752,2.52382812500002
1952-12-01,6.4869630150497,-2.18833007812498
1953-01-01,16.1150209605694,-3.00571289062498
1953-02-01,7.09017179906368,-0.400732421874977
1953-03-01,0.20579993724823,4.05458984375002
1953-04-01,-7.34536541324839e-22,10.3437744140625
1953-05-01,0.0238383654505014,14.0346923828125
1953-06-01,-7.34536541324839e-22,18.465234375
1953-07-01,-7.34536492021033e-22,21.0017333984375
1953-08-01,-7.34536492021033e-22,18.8891845703125
1953-09-01,-7.34536492021033e-22,16.66884765625
1953-10-01,-7.34536541324839e-22,11.8242431640625
1953-11-01,0.0122067576739937,3.42543945312502
1953-12-01,0.509730016347021,0.815698242187523
1954-01-01,8.66332091391087,-5.52548828124998
1954-02-01,5.27667347341776,-6.04794921874998
1954-03-01,0.0757147063268349,5.45546875000002
1954-04-01,0.00114459544420242,6.41762695312502
1954-05-01,-7.34536541324839e-22,13.4189697265625
1954-06-01,-7.34536492021033e-22,18.738671875
1954-07-01,-7.34536541324839e-22,17.22451171875
1954-08-01,-7.34536492021033e-22,19.3779541015625
1954-09-01,-7.34536541324839e-22,17.1189208984375
1954-10-01,-7.34536541324839e-22,9.56740722656252
1954-11-01,0.0304249006148893,3.11086425781252
1954-12-01,0.739933690056205,2.95363769531252
1955-01-01,5.89558621868491,-2.07224121093748
1955-02-01,4.0090000256896,-0.912329101562477
1955-03-01,8.7339011952281,0.507104492187523
1955-04-01,0.124553262139671,6.73977050781252
1955-05-01,-7.34536541324839e-22,12.7822509765625
1955-06-01,-7.34536492021033e-22,16.6445556640625
1955-07-01,-7.34536492021033e-22,19.702294921875
1955-08-01,-7.34536492021033e-22,18.7474609375
1955-09-01,-7.34536492021033e-22,15.5293212890625
1955-10-01,-7.34536541324839e-22,9.63686523437502
1955-11-01,0.348946399753913,4.38320312500002
1955-12-01,0.660976744256914,1.88186035156252
1956-01-01,1.27952126786113,-0.344702148437477
1956-02-01,19.8431462049484,-10.870947265625
1956-03-01,2.64742900617421,1.98330078125002
1956-04-01,0.0296609468932729,7.91164550781252
1956-05-01,-7.34536541324839e-22,13.57119140625
1956-06-01,-7.34536541324839e-22,16.7611328125
1956-07-01,-7.34536492021033e-22,20.252587890625
1956-08-01,-7.34536492021033e-22,18.432275390625
1956-09-01,-7.34536492021033e-22,16.2995849609375
1956-10-01,0.00753393396735191,9.48195800781252
1956-11-01,0.153727654833347,1.50710449218752
1956-12-01,1.79193704389036,0.814477539062523
1957-01-01,3.86450672522187,-1.45126953124998
1957-02-01,0.533460173755884,2.62758789062502
1957-03-01,0.23231515660882,5.89943847656252
1957-04-01,0.00810553319752216,9.04311523437502
1957-05-01,-7.34536541324839e-22,11.8030029296875
1957-06-01,-7.34536492021033e-22,19.665185546875
1957-07-01,-7.34536492021033e-22,20.822412109375
