"time","sd","t2m"
1950-01-01,71.587398648262,-7.53146972656248
1950-02-01,95.4429432749748,-2.23911132812498
1950-03-01,32.3785953223705,0.725488281250023
1950-04-01,0.232529710046947,4.61977539062502
1950-05-01,0.000763041498430539,11.7983642578125
1950-06-01,-7.14684117087854e-22,14.998681640625
1950-07-01,-7.31476845696326e-22,16.197900390625
1950-08-01,-7.34536492021033e-22,15.886376953125
1950-09-01,-7.34536492021033e-22,10.75234375
1950-10-01,1.9190163584426,4.72023925781252
1950-11-01,8.13921913504601,0.409814453125023
1950-12-01,15.3505960479379,-4.01352539062498
1951-01-01,68.1621357798576,-3.32187499999998
1951-02-01,99.7805595397949,-2.09628906249998
1951-03-01,100.697211921215,-2.05563964843748
1951-04-01,8.37941933423281,3.87709960937502
1951-05-01,-5.82335295993308e-22,8.82961425781252
1951-06-01,-6.65926498080793e-22,13.350244140625
1951-07-01,-7.30391718217388e-22,14.8889404296875
1951-08-01,-7.34536492021033e-22,16.1198974609375
1951-09-01,-7.34536492021033e-22,12.6537109375
1951-10-01,-7.34536541324839e-22,5.02651367187502
1951-11-01,0.9067312348634,3.19667968750002
1951-12-01,10.8594009652734,-1.90390624999998
1952-01-01,39.8889444768429,-4.35568847656248
1952-02-01,103.451535105705,-4.09909667968748
1952-03-01,158.816829323769,-4.10910644531248
1952-04-01,75.6658017635345,6.24941406250002
1952-05-01,0.126748709590174,8.94960937500002
1952-06-01,-7.15290751123969e-22,12.5150390625
1952-07-01,-7.32330689018615e-22,16.10732421875
1952-08-01,-7.34536492021033e-22,16.6892333984375
1952-09-01,0.00515177453053184,8.45900878906252
1952-10-01,0.280595442745835,3.77114257812502
1952-11-01,21.3867612183094,-1.98288574218748
1952-12-01,34.3248583376408,-5.75937499999998
1953-01-01,89.349552989006,-5.16196289062498
1953-02-01,118.151746690273,-4.28977050781248
1953-03-01,86.8041217327118,-0.0514892578124773
1953-04-01,0.639224424958229,6.11391601562502
1953-05-01,0.71932072751224,9.61306152343752
1953-06-01,-7.34536541324839e-22,14.6118408203125
1953-07-01,-7.34536492021033e-22,16.2973876953125
1953-08-01,-7.34536492021033e-22,14.039208984375
1953-09-01,-7.34536492021033e-22,11.2446533203125
1953-10-01,-7.34536541324839e-22,8.17043457031252
1953-11-01,0.0661834783386439,0.964624023437523
1953-12-01,3.45553644001484,-1.60935058593748
1954-01-01,55.4028637707233,-10.130224609375
1954-02-01,85.8860537409782,-10.28525390625
1954-03-01,60.9317682683468,0.384545898437523
1954-04-01,7.42703769356012,1.49062500000002
1954-05-01,0.0063915504142642,9.12941894531252
1954-06-01,-7.34536492021033e-22,14.18447265625
1954-07-01,-7.34536541324839e-22,12.5273681640625
1954-08-01,-7.34536492021033e-22,14.1648193359375
1954-09-01,0.0537869273102842,11.398828125
1954-10-01,0.213817053008825,5.77346191406252
1954-11-01,5.07580349221826,-1.06552734374998
1954-12-01,18.6593253165483,-1.23325195312498
1955-01-01,78.1246274709702,-7.37253417968748
1955-02-01,118.02577227354,-6.73105468749998
1955-03-01,133.344709873199,-3.93454589843748
1955-04-01,34.3926064670086,1.52004394531252
1955-05-01,0.0257654901361093,7.62783203125002
1955-06-01,-7.34536492021033e-22,12.02138671875
1955-07-01,-7.34536492021033e-22,14.929345703125
1955-08-01,-7.34536492021033e-22,14.5093017578125
1955-09-01,-7.34536492021033e-22,11.4812255859375
1955-10-01,0.371765141608194,5.41787109375002
1955-11-01,12.199237011373,0.398950195312523
1955-12-01,47.0854677259922,-2.64780273437498
1956-01-01,70.4426988959312,-5.05478515624998
1956-02-01,107.960410416126,-14.1371826171875
1956-03-01,179.744094610214,-2.39169921874998
1956-04-01,68.2622119784355,1.79006347656252
1956-05-01,0.188665289897472,9.39699707031252
1956-06-01,-7.34536541324839e-22,11.7859130859375
1956-07-01,-7.34536492021033e-22,14.5886474609375
1956-08-01,-7.34536492021033e-22,12.499169921875
1956-09-01,-7.34536492021033e-22,11.318994140625
1956-10-01,0.344284810125828,5.67104492187502
1956-11-01,17.878994345665,-3.15781249999998
1956-12-01,22.2810003906488,-2.99985351562498
1957-01-01,24.8599518090487,-4.97434082031248
1957-02-01,11.9696725159883,-0.762182617187477
1957-03-01,8.480379357934,1.39943847656252
1957-04-01,0.92881009913981,4.51992187500002
1957-05-01,0.377785589080304,6.95546875000002
1957-06-01,-7.34536492021033e-22,14.29775390625
1957-07-01,-7.34536492021033e-22,15.5910888671875
1957-08-01,-7.34536492021033e-22,12.633203125
1957-09-01,0.00028640761229326,8.78994140625002
1957-10-01,0.00438751249021152,6.00209960937502
1957-11-01,0.834762817248702,1.97939453125002
1957-12-01,26.4869835227728,-4.28098144531248
1958-01-01,102.095060050488,-5.77133789062498
1958-02-01,122.916288673878,-2.88144531249998
1958-03-01,175.092577934265,-5.11057128906248
1958-04-01,136.769443750381,0.548852539062523
1958-05-01,1.71072315424681,11.302392578125
1958-06-01,-7.34536492021033e-22,12.0381103515625
1958-07-01,-7.34536492021033e-22,15.30556640625
1958-08-01,-7.34536492021033e-22,14.4282470703125
1958-09-01,-7.34536492021033e-22,11.2634521484375
1958-10-01,2.03703343868256,6.44252929687502
1958-11-01,0.135040376335382,2.05727539062502
1958-12-01,20.4123873263597,-2.58127441406248
